SalePrice,LotArea,OverallCond,YearBuilt,TotalBsmtSF,LivingArea
205000,7264,7,1925,952,2500
137000,4960,7,1930,297,1951
121000,8854,6,1916,952,1904
128000,6000,6,1936,672,1996
134900,6000,9,1937,698,1874
117000,6000,8,1925,884,2232
132500,6000,6,1939,780,2192
93000,6000,5,1924,468,1610
119000,6000,7,1926,884,1788
1.00E+05,6911,5,1924,1145,2446
141500,6120,6,1936,927,2466
133000,6120,7,1935,884,2457
60000,6120,3,1936,264,1064
105000,6120,7,1931,715,1590
115000,6120,6,1925,960,1955
150000,6120,6,1938,952,2534
126500,8635,5,1925,1072,2144
214500,11888,6,1916,844,2978
167500,11414,8,1910,728,2747
155000,8094,6,1915,1048,2816
155000,2500,8,1915,910,2736
179900,9928,8,1915,672,2616
104000,5520,6,1912,755,2613
62500,3000,1,1922,1040,3168
149000,6876,5,1927,720,2650
103000,6240,5,1925,780,1628
123000,5775,7,1915,483,1910
97500,5852,5,1902,1020,2884
135000,5160,6,1927,1204,2870
70000,5160,6,1923,858,1750
116000,10320,7,1915,698,2101
88750,4280,9,1946,560,1264
179000,10800,5,1987,1200,2400
179000,10800,5,1987,1200,2400
159900,10547,5,1978,1152,2304
61000,10020,1,1922,683,1587
103600,6629,6,1925,672,2041
63000,9780,3,1934,585,1697
175000,12886,6,1963,520,1984
139000,8816,6,1963,1121,2242
172500,11184,5,1978,918,2601
113500,11625,6,1967,1052,2104
130000,7800,7,1967,864,1763
149900,8014,5,1978,456,1490
134900,7252,5,1982,858,1716
137000,8740,6,1982,840,1700
139000,11616,5,1962,1092,2184
165000,15400,5,1961,552,2067
148000,15312,5,1960,1138,2276
165000,15584,5,1956,825,2896
63900,9000,2,1947,0,660
161500,11250,5,1957,1104,2892
143000,25095,8,1968,1437,2910
135000,17140,6,1956,1134,2363
82500,12342,5,1940,861,1722
190000,10708,5,1955,1617,3484
139600,13680,5,1955,0,1733
122000,15635,5,1954,0,1383
127500,9855,5,1956,1436,3125
121500,9571,5,1956,1073,2146
60000,9571,3,1958,1276,2552
154400,9350,7,1946,747,2386
113000,9340,6,1941,672,1344
125000,7440,6,1954,1089,2178
84000,11500,3,1957,0,845
139500,4235,5,1984,1049,2098
131000,11409,4,1949,768,2484
105000,9060,5,1939,560,1818
108000,9084,5,1940,755,2265
162000,10778,6,1990,1054,2115
156500,19255,5,1983,520,1858
316600,12327,8,1983,1496,3628
271900,14684,7,1990,2158,4354
213000,9317,5,1993,740,2515
239900,10560,5,1993,1079,2958
239500,9828,5,1995,1128,3148
131000,26400,7,1880,0,2016
118964,7018,5,1979,0,1535
153337,7018,5,1979,1086,2310
147983,7018,5,1979,0,2228
118858,7018,5,1979,0,1535
118858,7018,5,1979,0,1535
142953,7018,5,1979,0,2240
148325,7040,5,1979,1094,2323
113722,7007,5,1979,0,1513
269500,11855,5,2000,1168,3955
269500,7939,5,2000,1168,3955
269500,7976,5,2000,1168,3955
323262,10933,5,2009,1555,3235
297000,10637,5,2007,1705,3423
295493,10226,5,2008,1622,3252
332000,10816,5,2008,1720,3440
239900,9178,5,2008,1468,2936
212000,10769,5,2007,866,2634
272500,11422,5,2007,1838,3676
239000,11923,5,2007,1800,3600
220000,8814,5,2006,1604,3208
2.00E+05,6762,5,2007,1282,2572
221800,10324,5,2008,1254,2508
194500,7314,5,2007,1232,2464
237000,11645,5,2005,1498,2996
173000,11646,5,2005,704,2126
275000,12800,5,1989,1518,3162
233500,16698,5,1992,1449,3208
185000,28698,5,1967,1013,3139
152000,12464,5,1996,1040,2080
143000,9757,7,1994,990,1980
231500,15426,5,1997,928,2692
212000,10667,6,1996,799,2460
207000,14753,5,1998,1463,2926
145000,10859,5,1994,1097,2194
138000,8072,5,1994,990,1980
197900,10400,5,1998,866,2645
204000,10335,5,1999,1490,2991
192000,9017,5,1999,1431,2862
2.00E+05,8750,5,1998,928,2700
195000,8935,5,2002,831,2491
227000,9808,5,2002,1573,3146
230000,12420,5,2001,944,2784
187100,16285,5,2001,1413,2843
203000,10739,5,2002,1431,2875
201000,11166,5,2001,1492,2984
124000,8430,5,1978,1040,2080
140000,16269,5,1978,907,1814
134900,6950,7,1979,914,1828
150500,8800,7,1977,1040,2080
136500,7000,8,1978,864,1728
143500,9286,7,1977,1268,2536
133500,15523,6,1972,864,1728
123000,7200,5,1972,894,1788
133900,7200,8,1972,768,1536
133000,8445,7,1972,768,1536
250000,11664,5,2002,1569,3180
254750,12334,5,2003,1068,3252
236500,11838,5,2001,1753,3541
261500,11885,5,2001,1299,3171
313000,11050,5,2000,1440,3593
198500,8749,5,2002,840,2565
211000,11250,5,2001,944,2814
220000,15750,5,1999,1462,2975
203000,11883,5,1996,1504,3008
279500,12782,5,2002,1822,3650
210000,8750,5,1997,1417,2834
219500,9375,5,1997,1057,3091
191000,8750,5,1996,880,2596
178000,9100,5,2001,1212,2424
213000,9750,5,2000,1630,3260
144000,4435,5,2003,848,1696
140000,4435,5,2003,848,1696
293200,10200,5,2007,1578,3180
190000,9313,5,2004,864,2592
190000,8487,5,2004,1500,3000
173500,8633,5,2005,738,2214
170000,11069,5,2007,608,2004
108000,8777,5,1949,0,1126
167000,9937,7,1964,1486,2972
1.00E+05,8877,6,1938,816,1632
198500,7301,5,2003,0,1922
159500,7950,6,1977,690,2116
127000,10682,6,1960,1014,2163
125000,7200,6,1976,1041,2166
320000,13286,5,2007,1698,3396
145500,3675,5,2005,547,1619
118000,9405,9,1947,698,1396
85000,6410,5,1959,876,1752
120000,11767,5,1950,1078,2446
98000,8405,3,1945,0,1529
99900,4060,8,1922,864,1728
82000,10206,3,1952,0,944
119900,10926,5,1959,1678,3356
103500,11767,5,1956,1150,2710
112000,8926,3,1956,672,1632
110000,12354,8,1920,684,1880
122000,8212,6,1941,720,2018
117000,10998,5,1941,984,2588
160000,6300,4,1938,832,2100
159434,4500,5,1932,793,2313
60000,8400,5,1920,290,728
139500,9900,7,1940,778,2267
197000,15863,3,1920,824,3509
105000,5707,6,1935,583,1825
135000,7804,3,1928,1122,3103
147500,8574,8,1916,816,2048
137450,6171,6,1925,976,2584
155000,7200,9,1936,560,1695
177000,7558,6,1928,896,2809
145000,6292,7,1928,861,2338
137000,7155,8,1918,600,1828
234000,10918,9,1926,1276,3356
205000,13680,6,1940,840,2407
177500,7500,7,1942,771,2265
160000,9600,7,1940,728,2036
155000,14680,4,1960,1273,2546
163500,13360,7,1921,876,1840
154900,7681,6,1921,731,2074
205000,8145,6,1940,920,3400
144800,9100,6,1954,1112,2224
174500,12000,7,1941,704,2268
193000,13339,6,1960,1561,3122
158000,15600,7,1949,1067,2590
158500,14000,8,1950,1092,2244
224000,17500,5,1954,1310,3216
115000,1733,6,1980,516,1548
137000,1488,6,1980,561,1790
121000,1612,6,1980,561,1790
124000,1300,6,1980,561,1790
208000,13607,6,1986,572,2554
315000,17597,9,1971,1803,4168
222000,21695,9,1988,880,2560
147000,10690,7,1920,672,2016
123000,8660,6,1900,760,2616
78000,6402,5,1920,596,1788
85000,8470,2,1915,1013,2026
75000,10200,6,1925,572,1144
230000,3843,5,2007,1596,3244
57625,21780,4,1910,0,810
251000,10125,5,2000,1107,3159
239686,12822,5,2003,1434,3583
240000,12118,5,2004,1710,3420
215000,12209,5,2001,804,2765
156450,9750,6,1977,902,1828
173000,9360,7,1977,957,2244
126000,10125,5,1977,0,1734
173000,9947,5,1990,1188,2405
152000,11070,5,1991,1582,3177
137500,14375,6,1958,819,2163
375000,215245,5,1965,2136,4172
315500,12898,5,2007,1620,3240
224500,13159,5,2009,846,2538
410000,13438,5,2008,2190,4226
316500,14463,5,2008,1641,3282
201000,8925,5,2007,1466,2932
175000,11457,5,1988,1392,2804
204000,9839,8,1980,712,2949
213500,14419,5,1987,1645,3124
220000,6853,5,2001,1267,2563
170000,9157,5,2003,912,2926
315000,14601,5,2006,1838,3676
425000,12633,5,2007,1978,3956
139500,12518,7,1968,1008,2016
115000,21750,4,1960,0,1771
162000,4500,5,1998,1204,2408
165000,4500,5,1999,1224,2448
91000,1596,5,1973,462,1450
130000,9858,6,1968,864,1738
86000,1526,8,1970,630,1260
160000,13383,5,1969,1188,2592
80000,1477,4,1970,630,1260
97000,1533,6,1970,546,1890
88000,2217,4,1970,546,1638
131900,7689,8,1972,796,1592
131250,7706,5,1993,384,1475
165500,9101,6,1978,1097,2207
112000,8780,5,1985,833,1666
149000,7669,6,1992,828,1711
143000,14115,5,1993,796,2158
130000,10429,5,1992,624,1911
196000,9819,5,1977,1567,3134
173000,10457,7,1969,784,2416
176500,11029,8,1958,1184,2598
237500,12925,7,1970,1205,3322
206900,11075,5,1969,952,3064
187500,8702,5,1997,926,2530
165000,8139,5,1995,680,2150
195500,9535,5,1998,926,2530
192000,9042,5,1998,943,2581
173000,15038,5,1996,916,2552
177900,14137,5,1996,1348,2732
175000,21872,5,1996,729,2175
286000,4923,5,2001,1593,3186
247900,6264,5,1997,1664,3346
180000,5395,5,1993,1337,2674
180000,5070,5,1992,1280,2560
181000,10839,5,1997,926,2530
183000,11184,5,1998,932,2565
188000,8000,5,1995,773,2431
194500,10832,5,1994,712,2607
185000,14067,5,1991,836,2545
189000,4671,5,1988,1228,2456
188500,5950,5,1989,1337,2674
355000,13543,5,2005,1168,3668
325000,11198,5,2005,1122,3626
387000,15401,5,2004,1884,3768
115000,31220,2,1952,1632,3106
334000,8118,5,2007,1710,3420
133000,47280,5,1950,1488,2976
215000,20544,6,1986,791,2884
226500,12680,6,1988,1675,3363
175500,12090,6,1981,1422,2844
181900,10825,7,1983,1260,2520
235000,18559,5,1978,2048,4112
220000,14450,5,1979,1782,3564
272000,12227,7,1977,1330,4202
161000,13068,5,1976,1211,2422
175000,15611,6,1977,1126,2252
185000,10400,6,1980,738,2782
146900,9743,6,1969,720,2028
292500,12511,7,1978,1420,4260
180000,11361,5,1976,1193,2716
159900,10400,5,1976,1444,2888
205000,10480,6,1976,803,2767
157000,10000,6,1973,1176,2354
306000,14311,5,1996,1236,3576
133000,9000,5,1974,896,2688
151000,9750,8,1969,1054,2108
111900,10295,6,1969,936,1872
123000,7560,5,1971,864,1728
111250,12735,5,1972,864,1728
181000,4060,5,1998,1405,2742
103400,1680,5,1973,483,1470
1.00E+05,1680,5,1973,483,1470
100500,1890,6,1972,483,1470
106000,1869,6,1970,483,1470
85400,1680,5,1971,483,1470
89500,1680,3,1971,483,1470
111750,1680,5,1972,630,1932
140000,4043,6,1977,1069,2138
143000,2308,6,1975,855,2311
148500,2529,6,1977,1055,2110
110000,9477,5,1966,864,1756
394617,12444,5,2008,1932,3864
426000,12474,5,2007,1682,4014
385000,14803,5,2007,2078,4162
446261,14948,5,2008,1452,4165
317500,12704,5,2007,1582,3164
372402,13891,5,2007,1710,3420
417500,13693,5,2007,2418,4882
383000,14418,5,2007,1950,3900
390000,13418,5,2006,1850,4598
460000,12539,5,2005,1620,4410
379000,12151,5,2005,1414,3745
250000,8899,5,2007,948,3036
316000,10574,5,2004,1148,3480
615000,12720,5,2003,2535,5005
412500,13688,5,2003,1572,4240
284000,10625,5,2003,998,3044
284000,10845,5,2003,1603,3178
421250,16900,5,2001,1479,4128
370000,16451,5,2003,1765,4455
336860,10110,5,2008,1858,3724
367294,8769,5,2008,1702,3404
192000,12304,5,2005,1367,2734
274000,12677,5,2003,1518,3036
266000,8849,5,2005,1684,3368
370967,8232,5,2007,1800,3600
234250,6240,5,2006,1342,2684
219500,6240,5,2006,1342,2684
155000,2448,5,2003,764,2390
154000,2448,5,2003,764,2390
207000,8198,5,2004,1358,2716
195000,3940,5,2003,1415,2870
219990,3940,5,2004,1393,2969
191000,3182,5,2005,1346,2850
159895,3182,5,2007,1266,2532
187687,3710,5,2007,1146,2392
179000,9024,5,2004,789,2304
193000,7415,5,2004,839,2432
190000,9587,5,2005,856,2022
176000,8029,5,2005,728,2184
188000,8010,5,2002,840,2560
213000,8396,5,2003,847,2833
217300,7301,6,2007,1350,2708
186500,10261,5,2000,936,2728
226750,8220,5,2000,982,2874
184000,15384,5,2004,788,2278
176000,7750,5,2002,707,2121
225000,12460,5,1999,1037,3359
185900,8390,5,1999,831,2482
284500,9660,5,1997,1173,3372
315000,9200,5,1998,1470,4100
250000,14260,5,2000,1145,3343
291000,11000,5,2000,1519,3691
350000,11675,5,1998,1982,3988
279500,10990,5,1996,1064,3189
290000,11929,7,1995,1242,3743
350000,10437,6,1995,2109,4222
341000,10542,5,1993,1311,3729
287500,10010,5,1993,1080,3277
271000,10944,5,1994,1223,3350
301500,14303,5,1994,1986,3973
235128,11932,5,2007,1580,3160
214000,14598,5,2007,894,2827
232000,11957,5,2006,1574,3148
240000,13253,5,2006,1578,3156
264132,14587,5,2008,1498,3004
245000,10206,5,2007,1563,3126
227680,12274,5,2008,1417,2845
257000,9801,5,2007,1341,3202
297900,9428,5,2007,955,2829
247000,10037,5,2006,1460,2920
212700,8640,5,2007,1363,2735
250580,8640,5,2007,1372,2744
182000,11639,5,2007,1428,2856
226700,9803,5,2005,866,2634
250000,9375,5,2003,1053,3045
250000,10625,5,2005,1026,2984
339750,10800,5,2007,1034,3112
205950,8125,6,2007,813,2478
256000,10625,5,2007,1660,3320
230348,7500,5,2007,1218,2436
207500,8791,5,2003,864,2592
141000,7500,5,2004,1080,2160
188000,10110,5,2003,835,2531
192500,12774,5,2003,835,2498
146000,13072,5,2005,1175,2350
159000,13695,5,2004,1114,2228
155000,13695,5,2003,1114,2228
173000,8366,5,2004,798,2438
170000,9260,5,2007,1162,2324
182000,8453,5,1995,754,2363
163000,8480,5,1993,886,2566
193500,8125,5,1994,1408,3087
189000,14565,5,1994,832,2489
190500,8450,5,2001,827,2504
175000,8285,5,1992,836,2573
179200,7153,5,1991,1278,2572
187000,9291,5,1993,832,2542
193000,8012,5,1993,1604,3221
153900,7892,5,1993,1199,2398
128000,9100,5,1963,984,1968
144000,12968,6,1962,912,1824
135000,8100,8,1961,864,1728
115000,8450,5,1968,890,1780
119916,6360,5,1963,864,1728
142000,6768,8,1961,912,1824
192000,19508,5,1974,1430,2860
140000,10759,4,1972,1001,2642
290000,9205,5,1990,930,3613
372500,11025,5,1993,1848,4634
196000,4282,5,2004,1391,2782
171900,4017,5,2006,625,1875
178000,3435,5,2004,1235,2480
165000,3180,5,2005,600,1800
146000,3180,5,2007,689,2081
146000,3604,5,2007,689,2081
179400,2280,5,1999,744,2245
172900,2280,5,1999,744,2293
3.00E+05,4765,5,2000,1614,3252
285000,4538,5,2001,1310,2620
290000,4385,5,2001,1419,2838
305000,4109,5,1999,1557,3114
328900,5119,5,1999,1698,3407
160000,2160,5,1999,600,1852
170000,2160,5,1999,672,2076
223000,10646,5,2001,858,2647
170000,2645,5,1999,960,2546
2.00E+05,2645,5,1999,960,2567
345000,3951,5,1998,970,3363
245500,14963,5,1996,1260,2548
217500,11064,5,1995,1230,2469
324000,10846,5,1993,1719,3438
162500,11120,6,1984,1232,2464
150000,24572,3,1977,994,3938
290000,16280,9,1976,1426,3097
205000,7500,5,2002,952,2764
174000,10400,6,1970,1304,2986
183000,11104,6,1969,1427,2854
150000,11050,5,1968,1740,3480
145000,11040,7,1971,1258,2516
215000,15387,7,1967,1620,3240
140500,9750,6,1965,1625,3250
240000,10800,7,1974,1522,4136
141000,8814,6,1968,732,2196
147000,8872,8,1965,912,1824
135000,8125,7,1965,912,1837
145000,11072,5,1965,1728,3456
142600,13101,5,1965,1728,3456
135000,9246,5,1973,1656,3312
170000,13355,6,1971,825,2495
299800,8963,9,1976,1142,3857
185000,9120,6,1974,901,2777
173000,9130,8,1966,800,2432
178400,12122,9,1961,944,1943
176000,9900,5,1968,832,2810
98000,7785,5,1956,0,1014
109008,8593,6,1957,907,1814
135750,8475,7,1956,952,1904
155000,8700,6,1963,1120,2248
180500,10175,5,1964,1425,2850
174900,9020,7,1966,1127,2292
140000,9200,6,1965,1136,2272
145000,8250,7,1964,1092,2184
179900,9350,8,1965,1219,2484
168500,9020,5,1964,1248,2598
140000,9900,5,1961,1114,2228
145500,10007,7,1959,1053,2106
142000,10721,6,1959,1252,2504
141000,12493,5,1960,1100,2200
153000,11332,7,1960,1118,2236
72500,6627,6,1949,0,720
52000,4130,6,1935,270,999
118000,7420,6,1939,991,2068
87000,4882,7,1937,348,1254
141500,9600,6,1960,1296,2792
119000,9600,5,1950,1032,2284
141500,9600,8,1950,572,1909
165500,9600,6,1955,992,2653
112900,7584,5,1953,1036,2072
201800,13700,6,1965,864,2684
163000,10197,5,1961,1362,2724
139950,7875,6,1961,1144,2288
174000,8400,9,1962,1319,2856
165000,9150,5,1962,1099,2530
227000,14670,7,1966,1104,3092
135000,7390,7,1955,1098,2196
124000,9204,5,1963,1144,2288
140000,7763,7,1962,931,2214
136500,8856,4,1957,1176,2352
185000,9840,7,1959,1248,2688
163000,9120,6,1958,1261,2522
166800,13200,6,1958,1395,2965
139000,9000,5,1956,1196,2392
166000,11900,5,1957,1392,2784
136000,9464,7,1958,1080,2160
133000,10425,5,1956,1104,2208
116000,11556,6,1952,720,1602
137500,9373,6,1953,1152,2304
130000,12774,5,1953,984,1934
180000,14250,5,1957,998,2788
139000,7350,7,1951,952,1904
110000,7677,5,1953,773,1546
1.00E+05,8838,3,1957,0,1764
118500,8480,5,1947,832,2048
146000,12436,5,1957,1824,3648
89900,10122,6,1948,0,869
114000,7506,8,1925,747,1906
140000,10930,6,1945,913,2471
86900,5400,7,1940,672,1344
139000,10836,5,1922,892,2328
106250,10800,7,1900,0,1294
171000,9247,6,1962,858,2574
139000,10180,6,1968,912,1956
186000,11355,7,1958,1312,2624
157000,10920,5,1960,1253,2506
148000,12929,6,1960,1081,2162
242000,27650,7,1960,585,2654
116000,8892,7,1953,105,1015
94000,7200,7,1951,876,1752
98300,7200,5,1950,0,1048
127000,7910,5,1960,1075,2582
159000,8000,6,1959,1256,2512
125900,8000,5,1962,1027,2054
155000,7931,6,1960,1269,2538
138000,8064,6,1948,768,2088
112500,6390,7,1954,936,1920
105500,7227,6,1954,832,1664
127500,7200,5,1954,854,2132
130000,8513,5,1961,1800,3600
150000,7200,6,1955,768,2356
109500,7200,7,1954,825,1650
140000,7056,5,1963,780,2576
167900,9760,6,1964,780,2391
136870,7590,5,1963,1117,2234
143000,9836,5,2008,192,1325
73000,5232,5,1925,680,1444
157500,10440,8,1904,650,2189
122600,9184,7,1948,780,2103
111000,4800,5,1910,680,2040
256000,10440,7,1920,1510,4302
64000,4800,4,1940,672,1344
139500,6000,7,1915,728,2184
118000,11426,6,1910,828,2314
2.00E+05,11426,5,2003,1362,3444
119164,7628,6,1940,801,2457
122250,7308,5,1920,936,2676
120000,5400,6,1920,931,1958
155000,10800,6,1940,884,2320
78000,6756,6,1910,481,1380
95000,5914,9,1890,684,1764
115000,6000,5,1948,789,1578
147000,12000,7,1948,924,2046
140000,9000,6,1946,904,2403
46500,7311,5,1946,407,814
112500,6000,6,1957,928,1856
107900,6000,7,1954,901,1802
65000,12205,1,1949,448,2036
295000,18386,9,1880,1470,4963
139500,9142,5,1900,797,2424
153900,12665,8,1915,876,2292
132000,5350,8,1920,624,2074
98000,4571,5,1916,624,1968
114000,9143,7,1900,346,1363
130000,9600,5,1920,973,3323
129500,9600,5,1917,735,2793
129400,6000,9,1905,572,2112
161000,9600,9,1928,689,2067
163000,10800,7,1905,482,2394
128000,6300,6,1914,742,2226
122000,5250,5,1872,684,2837
116900,5700,7,1926,572,1683
325000,13500,9,1893,1237,4012
55000,11340,1,1920,723,1809
184000,10800,7,1890,1313,3808
110000,9750,6,1959,984,1968
131500,12150,5,1954,1050,2845
97000,12702,5,1956,0,882
115500,8516,6,1958,869,1962
138000,7111,7,1928,1008,2151
108000,7425,7,1945,672,2340
79500,9100,6,1930,742,1521
153000,7010,5,1935,1024,2762
109500,6130,6,1924,784,1568
124000,5000,7,1941,672,1882
106900,5870,9,1900,554,1844
164900,6000,7,1940,981,2653
119000,6000,7,1924,949,1898
120000,6000,7,1929,862,2020
157000,6000,7,1937,825,2322
105000,6000,5,1939,739,2081
113000,5000,7,1926,992,2005
115000,5520,7,1920,565,1781
79000,5940,7,1946,,NA
123000,6240,7,1929,704,1840
81300,6120,6,1945,0,808
162900,6240,7,1930,1078,2651
150000,6240,5,1939,989,2998
123500,6120,5,1923,1100,3002
129900,6120,5,1931,952,2726
128000,6155,8,1920,611,1973
68500,6324,6,1927,520,1040
127000,8635,5,1948,672,1957
207000,13053,7,1923,833,2681
184000,9120,6,1925,1026,2846
162500,9144,4,1915,810,2526
145000,9144,5,1940,883,2388
130000,10267,7,1918,816,1654
160000,8094,8,1910,1242,3226
161000,5100,7,1925,588,2254
127500,4347,8,1910,796,2405
93850,6291,6,1930,768,1536
136000,10266,6,1952,768,2304
141000,6876,6,1938,1272,2544
120000,10320,6,1915,880,2188
127500,7200,7,1925,1040,2080
127000,7006,6,1925,768,2004
89500,7920,7,1920,319,1725
125000,8235,7,1955,825,1650
79900,5586,7,1920,901,2099
85000,10320,8,1912,451,1210
82375,10320,3,1915,536,1880
135000,10320,7,1906,756,2225
124000,9488,6,1947,1046,2100
134000,8250,5,1968,952,2163
135000,21286,5,1948,720,1991
134432,17120,4,1959,0,1588
127500,10106,7,1940,644,1999
148000,11235,6,1963,981,2056
129500,11200,5,1965,1040,2080
157500,13014,5,1978,1008,2104
109900,7162,7,1966,876,1780
145000,10265,7,1967,992,1984
130000,9764,7,1967,894,1788
153000,7703,8,1978,450,1484
120000,9981,5,1967,1073,2146
152000,7400,5,1984,1060,2186
108959,12900,4,1969,1198,2456
95541,12900,4,1920,1300,2440
80000,9000,3,1959,1006,2012
149350,8544,6,1966,1228,2456
144900,9239,8,1963,960,1920
185000,14175,8,1956,988,2176
165000,13284,5,1954,1383,2766
235000,13500,7,1960,1602,2854
140000,13825,6,1958,533,2134
108000,10200,8,1940,672,1344
145000,10532,3,1960,988,2709
152400,8375,7,1941,576,1926
144000,10200,8,1970,864,1768
173000,2887,5,1996,1291,2582
192000,10005,5,1977,1160,3182
245000,20270,6,1979,1524,3048
241500,39104,7,1954,1385,2748
256000,53227,6,1954,1364,3027
177000,11512,7,1959,1019,2376
125600,5190,5,1948,570,1649
155000,10452,5,1953,1094,2188
240000,45600,8,1908,907,3265
260000,19550,7,1940,1580,3098
185000,21780,7,1918,1163,2837
235000,13728,7,1935,1127,3235
159900,9571,6,1956,1509,3018
99600,9350,5,1975,864,1728
134500,9360,8,1962,621,1890
119000,8405,8,1900,861,2228
107500,7000,7,1910,1117,2464
125000,10880,5,1950,1164,2328
79000,9600,5,1924,572,1668
95000,9084,6,1941,616,1727
262280,11839,5,1990,1475,3804
260000,9771,5,1995,1077,3891
226500,9938,5,1994,1602,3228
225000,14171,5,1993,812,3012
229000,10541,5,1996,672,2709
177439,10616,5,2007,628,1984
248500,9345,5,2007,1615,3230
475000,11778,5,2008,2271,4547
395039,11778,5,2008,1751,3517
228000,11228,5,1993,1080,3177
225000,11454,5,1995,1401,2912
195000,11500,6,1966,1182,2825
2.00E+05,12798,5,1997,616,2304
155000,9750,7,1994,990,1980
144000,9525,6,1995,1099,2198
145000,9245,5,1994,990,1980
226001,8696,5,1997,1418,2836
215700,13142,5,1997,864,2635
207500,8998,5,2000,782,2434
193000,9179,5,1999,873,2663
188000,8924,5,1998,880,2604
191000,9382,5,1999,1468,2947
221000,12803,5,2002,1494,2988
231500,12435,5,2001,963,2755
235000,12192,5,2000,928,2751
223500,11250,5,2001,920,2706
130250,9200,6,1975,938,1876
149900,8385,8,1977,985,1970
158000,12250,6,1978,864,2038
147000,10970,6,1978,940,1966
143195,9216,6,1975,1076,2152
163000,14330,6,1975,864,2422
110000,7990,6,1975,924,1848
127000,7180,7,1972,864,1728
124900,7200,7,1972,780,1560
230000,9742,5,2002,1777,3572
237000,9473,5,2002,1128,3159
235000,10316,5,2000,992,2857
230500,10400,5,2001,1257,3418
230000,9066,5,1999,1004,2856
222500,11404,5,1998,1153,3184
287000,9240,5,2001,1055,3318
274000,9720,5,2001,1357,3304
3.00E+05,14860,5,2002,1778,3564
255900,11250,5,2002,1128,3418
224900,8158,5,2003,884,2652
